,Winter,Spring,Summer,Fall,period,rcp,zone
inmcm4,12.20722246785288,22.11966964189569,29.236458569760778,22.119805100707676,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-LR,13.222182974317914,23.34338556391878,31.623992639472515,23.20770140170636,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-MR,13.932899639694647,23.965716211392976,31.842462569267543,23.954971709374163,2040-2069,rcp85,Recharge Zone
IPSL-CM5B-LR,12.887214906200338,22.28181683635391,30.273438906528227,22.578374320120734,2040-2069,rcp85,Recharge Zone
MIROC-ESM-CHEM,13.544791460899685,23.812500569031656,31.093505785411914,23.15732813711672,2040-2069,rcp85,Recharge Zone
MIROC-ESM,13.153934518967079,22.993454215877843,30.40520275979232,23.144199746043583,2040-2069,rcp85,Recharge Zone
MIROC5,13.387480316190215,23.512387363410244,30.878864270667542,23.061885019578494,2040-2069,rcp85,Recharge Zone
MRI-CGCM3,12.86944179289262,21.960257389667035,30.1561122873817,21.827575785712106,2040-2069,rcp85,Recharge Zone
NorESM1-M,13.506177118003551,23.032121948506596,31.063452575054406,23.09071373356006,2040-2069,rcp85,Recharge Zone
bcc-csm1-1-m,13.945231658349115,23.495497960824707,31.92279200175843,23.68943183069573,2070-2099,rcp85,Recharge Zone
bcc-csm1-1,13.783561936478494,24.455860579652622,32.59167445602123,24.097758971899058,2070-2099,rcp85,Recharge Zone
BNU-ESM,15.02755784571755,25.360592072150244,33.106082226247615,26.39076090733391,2070-2099,rcp85,Recharge Zone
CanESM2,15.232858991665333,25.22143806035906,33.56909771500172,25.552890256324506,2070-2099,rcp85,Recharge Zone
CCSM4,14.869149019864844,24.300573706883583,31.747093847134174,24.219554443255852,2070-2099,rcp85,Recharge Zone
CNRM-CM5,15.085282700157864,23.885853866764712,31.431745155466754,24.164493152712712,2070-2099,rcp85,Recharge Zone
CSIRO-Mk3-6-0,15.296063313291647,25.372267198688867,33.278882268250484,24.945985700012283,2070-2099,rcp85,Recharge Zone
GFDL-ESM2G,13.21080708621722,24.43299115432408,32.65543466355424,24.529986391290663,2070-2099,rcp85,Recharge Zone
GFDL-ESM2M,13.603606310311912,23.923254122969727,32.23204254373988,24.190634187905555,2070-2099,rcp85,Recharge Zone
HadGEM2-CC365,16.146893178360024,24.99468171088751,33.168001581352854,26.062961857773512,2070-2099,rcp85,Recharge Zone
HadGEM2-ES365,15.67995643079785,24.914541020433195,33.04648355343261,25.63605730425515,2070-2099,rcp85,Recharge Zone
inmcm4,14.155549930351572,24.22214529499435,30.787981067787896,23.731930377783932,2070-2099,rcp85,Recharge Zone
IPSL-CM5A-LR,16.21669105634762,26.0657186229299,34.38546088683641,25.983646235542103,2070-2099,rcp85,Recharge Zone
